site	echantillon	chlorophylle	turbidite 	coliformes 
A	1	1.17	1.85	38
A	2	1.42	1.64	21
A	3	1.145	2.3	21
A	4	1.58	1.74	23
A	5	1.55	2.47	14
A	6	1.36	2.07	34
A	7	1.39	1.97	28
B	1	6.5	5.12	651
B	2	5.6	4.87	1201
B	3	6.71	4.34	494
B	4	7.09	4.77	1101
B	5	7.3	4.37	759
B	6	5.3	4.87	470
B	7	7.7	4.77	1130
C	1	5.8	7.33	317
C	2	4.8	4.27	37
C	3	4.545	6.4	229
C	4	6.1	3.77	60
C	5	6	3.07	337
C	6	4.3	5.67	114
C	7	5.5	3.87	534
D	1	6.85	11.17	207
D	2	7.2	14.17	992
D	3	8.95	15.37	2638
D	4	7.25	22.72	3252
D	5	7.3	19.57	1270
D	6	7.8	16.37	2138
D	7	6.5	17.47	989
E	1	16.86	6.62	1239
E	2	11.1	9.92	109
E	3	11.04	13.27	117
E	4	14.3	7.67	101
E	5	12.6	8.97	35
E	6	13.7	6.87	145
E	7	10.4	7.17	62
